Section,Title,Author,Time(Weeks),Avg_Rating,Num_of_Ratings,Description,Link
Combined Print & E-Book Fiction,CAMINO WINDS,by John Grisham,3,4.01,6345,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.,https://www.amazon.com/dp/0385545932?tag=NYTBSREV-20&tag=NYTBS-20
Combined Print & E-Book Fiction,WHERE THE CRAWDADS SING,by Delia Owens,88,4.49,735578,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBS-20
Combined Print & E-Book Fiction,LITTLE FIRES EVERYWHERE,by Celeste Ng,66,4.1,582818,An artist upends a quiet town outside Cleveland.,https://www.amazon.com/Little-Fires-Everywhere-Celeste-Ng-ebook/dp/B01N4VW75U?tag=NYTBS-20
Combined Print & E-Book Fiction,IF IT BLEEDS,by Stephen King,4,4.23,8622,"Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”",https://www.amazon.com/dp/1982137975?tag=NYTBSREV-20&tag=NYTBS-20
Combined Print & E-Book Fiction,WALK THE WIRE,by David Baldacci,4,4.28,7667,The sixth book in the Memory Man series. Decker and Jamison investigate a murder in a North Dakota town in a fracking boom.,https://www.amazon.com/dp/1538761467?tag=NYTBSREV-20&tag=NYTBS-20
Combined Print & E-Book Nonfiction,UNTAMED,by Glennon Doyle,10,3.95,209698,The activist and public speaker describes her journey of listening to her inner voice.,https://www.amazon.com/dp/1984801252?tag=NYTBSREV-20&tag=NYTBS-20
Combined Print & E-Book Nonfiction,BECOMING,by Michelle Obama,76,4.55,452648,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",https://www.amazon.com/Becoming-Michelle-Obama/dp/1524763136?tag=NYTBS-20
Combined Print & E-Book Nonfiction,THE SPLENDID AND THE VILE,by Erik Larson,12,4.32,15307,An examination of the leadership of the prime minister Winston Churchill.,https://www.amazon.com/Splendid-Vile-Churchill-Family-Defiance/dp/0385348711?tag=NYTBS-20
Combined Print & E-Book Nonfiction,EDUCATED,by Tara Westover,117,4.47,655303,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",https://www.amazon.com/Educated-Memoir-Tara-Westover/dp/0399590501?tag=NYTBS-20
Combined Print & E-Book Nonfiction,THE GREAT INFLUENZA,by John M. Barry,10,3.98,21450,An overview of the 1918 flu epidemic and cautionary tale for similar kinds of large-scale outbreaks.,http://www.amazon.com/The-Great-Influenza-Deadliest-Pandemic/dp/0143036491?tag=NYTBS-20
Hardcover Fiction,WHERE THE CRAWDADS SING,by Delia Owens,89,4.49,735578,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBS-20
Hardcover Fiction,CAMINO WINDS,by John Grisham,3,4.01,6345,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.,https://www.amazon.com/dp/0385545932?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,IF IT BLEEDS,by Stephen King,4,4.23,8622,"Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”",https://www.amazon.com/dp/1982137975?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,WALK THE WIRE,by David Baldacci,4,4.28,7667,The sixth book in the Memory Man series. Decker and Jamison investigate a murder in a North Dakota town in a fracking boom.,https://www.amazon.com/dp/1538761467?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,THE 20TH VICTIM,by James Patterson and Maxine Paetro,2,4.24,2448,The 20th book in the Women’s Murder Club series. Lindsay Boxer looks into the murders of disreputable persons in three separate cities.,https://www.amazon.com/dp/031642028X?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Nonfiction,UNTAMED,by Glennon Doyle,10,3.95,209698,The activist and public speaker describes her journey of listening to her inner voice.,https://www.amazon.com/dp/1984801252?tag=NYTBSREV-20&tag=NYTBS-20
